,Name,ID,URL
11,The Fatty Bao - Asian...,58268,https://www.zomato.com/bangalore/the-fatty-bao-asian-gastro-bar-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTgxNjAwOTMiLCIxODM5MTAyMCIsIjE4Mzc0NTE3IiwiMTg1Mzc4MTYiLDU4MjY4LDUwMDY2LCIxODY2OTI3MSIsIjE4NTk0OTM3IiwiMTg3MTIzOTQiLCIxODUyNjI3OSIsIjU0MzA5IiwiMTgyMjQ2NTAiLCIxODYwMzgyMiIsIjE4NzcyNDk4IiwiMTg2NjM4NzMiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
12,Barbeque Nation,50066,https://www.zomato.com/bangalore/restaurants/barbeque-nation?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14
13,Zamindar,18669271,https://www.zomato.com/bangalore/zamindar-kalyan-nagar-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTgzNzQ1MTciLCIxODUzNzgxNiIsIjU4MjY4Iiw1MDA2NiwxODY2OTI3MSwiMTg1OTQ5MzciLCIxODcxMjM5NCIsIjE4NTI2Mjc5IiwiNTQzMDkiLCIxODIyNDY1MCIsIjE4NjAzODIyIiwiMTg3NzI0OTgiLCIxODY2Mzg3MyIsIjE4NjA1NDE3IiwiMTg2MTAzODMiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
14,Big Wong XL,18594937,https://www.zomato.com/bangalore/big-wong-xl-koramangala-5th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1Mzc4MTYiLCI1ODI2OCIsNTAwNjYsIjE4NjY5MjcxIiwxODU5NDkzNywiMTg3MTIzOTQiLCIxODUyNjI3OSIsIjU0MzA5IiwiMTgyMjQ2NTAiLCIxODYwMzgyMiIsIjE4NzcyNDk4IiwiMTg2NjM4NzMiLCIxODYwNTQxNyIsIjE4NjEwMzgzIiwiNTA1NjUiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
15,99 Pancakes,18712394,https://www.zomato.com/bangalore/99-pancakes-1-koramangala-5th-block-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTgyNjgiLDUwMDY2LCIxODY2OTI3MSIsIjE4NTk0OTM3IiwxODcxMjM5NCwiMTg1MjYyNzkiLCI1NDMwOSIsIjE4MjI0NjUwIiwiMTg2MDM4MjIiLCIxODc3MjQ5OCIsIjE4NjYzODczIiwiMTg2MDU0MTciLCIxODYxMDM4MyIsIjUwNTY1IiwiMTg2MDI4ODAiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
16,The Globe Grub,18526279,https://www.zomato.com/bangalore/the-globe-grub-marathahalli?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOls1MDA2NiwiMTg2NjkyNzEiLCIxODU5NDkzNyIsIjE4NzEyMzk0IiwxODUyNjI3OSwiNTQzMDkiLCIxODIyNDY1MCIsIjE4NjAzODIyIiwiMTg3NzI0OTgiLCIxODY2Mzg3MyIsIjE4NjA1NDE3IiwiMTg2MTAzODMiLCI1MDU2NSIsIjE4NjAyODgwIiwiMTg3MzI2NjUiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
17,Sharon Tea Stall,54309,https://www.zomato.com/bangalore/sharon-tea-stall-thippasandra?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2NjkyNzEiLCIxODU5NDkzNyIsIjE4NzEyMzk0IiwiMTg1MjYyNzkiLDU0MzA5LCIxODIyNDY1MCIsIjE4NjAzODIyIiwiMTg3NzI0OTgiLCIxODY2Mzg3MyIsIjE4NjA1NDE3IiwiMTg2MTAzODMiLCI1MDU2NSIsIjE4NjAyODgwIiwiMTg3MzI2NjUiLCI1NzgzMyJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19
18,Brik Oven,18224650,https://www.zomato.com/bangalore/brik-oven-church-street?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1OTQ5MzciLCIxODcxMjM5NCIsIjE4NTI2Mjc5IiwiNTQzMDkiLDE4MjI0NjUwLCIxODYwMzgyMiIsIjE4NzcyNDk4IiwiMTg2NjM4NzMiLCIxODYwNTQxNyIsIjE4NjEwMzgzIiwiNTA1NjUiLCIxODYwMjg4MCIsIjE4NzMyNjY1IiwiNTc4MzMiLCIxODMwNDc1NyJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19
19,The Pizza Bakery,18603822,https://www.zomato.com/bangalore/the-pizza-bakery-1-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg3MTIzOTQiLCIxODUyNjI3OSIsIjU0MzA5IiwiMTgyMjQ2NTAiLDE4NjAzODIyLCIxODc3MjQ5OCIsIjE4NjYzODczIiwiMTg2MDU0MTciLCIxODYxMDM4MyIsIjUwNTY1IiwiMTg2MDI4ODAiLCIxODczMjY2NSIsIjU3ODMzIiwiMTgzMDQ3NTciLCI1MTcwNSJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19
20,HOMMS,18772498,https://www.zomato.com/bangalore/homms-marathahalli-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1MjYyNzkiLCI1NDMwOSIsIjE4MjI0NjUwIiwiMTg2MDM4MjIiLDE4NzcyNDk4LCIxODY2Mzg3MyIsIjE4NjA1NDE3IiwiMTg2MTAzODMiLCI1MDU2NSIsIjE4NjAyODgwIiwiMTg3MzI2NjUiLCI1NzgzMyIsIjE4MzA0NzU3IiwiNTE3MDUiLDE4NDY4ODQzXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
21,Pin Me Down,18663873,https://www.zomato.com/bangalore/pin-me-down-btm-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTQzMDkiLCIxODIyNDY1MCIsIjE4NjAzODIyIiwiMTg3NzI0OTgiLDE4NjYzODczLCIxODYwNTQxNyIsIjE4NjEwMzgzIiwiNTA1NjUiLCIxODYwMjg4MCIsIjE4NzMyNjY1IiwiNTc4MzMiLCIxODMwNDc1NyIsIjUxNzA1IiwxODQ2ODg0Myw1ODg4Ml0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
22,Brooks and Bonds Brewery,18605417,https://www.zomato.com/bangalore/brooks-and-bonds-brewery-koramangala-5th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTgyMjQ2NTAiLCIxODYwMzgyMiIsIjE4NzcyNDk4IiwiMTg2NjM4NzMiLDE4NjA1NDE3LCIxODYxMDM4MyIsIjUwNTY1IiwiMTg2MDI4ODAiLCIxODczMjY2NSIsIjU3ODMzIiwiMTgzMDQ3NTciLCI1MTcwNSIsMTg0Njg4NDMsNTg4ODIsIjE4NjYxMDk0Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
23,Arogya Ahaara,18610383,https://www.zomato.com/bangalore/arogya-ahaara-hsr?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2MDM4MjIiLCIxODc3MjQ5OCIsIjE4NjYzODczIiwiMTg2MDU0MTciLDE4NjEwMzgzLCI1MDU2NSIsIjE4NjAyODgwIiwiMTg3MzI2NjUiLCI1NzgzMyIsIjE4MzA0NzU3IiwiNTE3MDUiLDE4NDY4ODQzLDU4ODgyLCIxODY2MTA5NCIsIjE4NTgwMjAyIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
24,Karavalli - The Gateway Hotel,50565,https://www.zomato.com/bangalore/karavalli-the-gateway-hotel-residency-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg3NzI0OTgiLCIxODY2Mzg3MyIsIjE4NjA1NDE3IiwiMTg2MTAzODMiLDUwNTY1LCIxODYwMjg4MCIsIjE4NzMyNjY1IiwiNTc4MzMiLCIxODMwNDc1NyIsIjUxNzA1IiwxODQ2ODg0Myw1ODg4MiwiMTg2NjEwOTQiLCIxODU4MDIwMiIsIjUwOTQzIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
